id,signal_id,strategy_id,user_id,symbol,isin,exchange,order_type,order_side,product_type,qty,filled_qty,limit_price,trigger_price,avg_fill_price,broker_order_id,broker_status,indira_symbol,exchange_token,status,retry_count,max_retries,last_error,parent_order_id,created_at,placed_at,filled_at,cancelled_at,updated_at,trade_date,algo_id,broker_limit_price,broker_trigger_price,exchange_error_code,exchange_error_tag,reject_category
845,7d68a4c2-b5ff-5d68-802b-1a3a268877da,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,LGEINDIA,INE324D01010,NSE,LIMIT_BUY,BUY,CNC,3,0,1687.50,0.00,,NZVAH00006I8,"",STK_LGEINDIA_EQ_NSE_760213,760213,CANCELLED,3,3,"",,2026-08-25 13:25:40.393583+05:30,2026-08-25 13:26:21.63375+05:30,,2026-08-25 13:29:55.047986+05:30,2026-08-25 13:29:55.047986+05:30,,,,,,,
846,ab7209ca-f483-5f98-9061-a5419081ca55,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,SPECIALITY,INE247M01014,NSE,LIMIT_BUY,BUY,CNC,40,0,147.42,0.00,,NZVAH00007I8,"",STK_SPECIALITY_EQ_NSE_27111,27111,CANCELLED,3,3,"",,2026-08-25 13:25:40.440447+05:30,2026-08-25 13:26:22.230525+05:30,,2026-08-25 13:29:55.046897+05:30,2026-08-25 13:29:55.046897+05:30,,,,,,,
847,f5182e33-0a36-5748-81ed-17b9be938ec6,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,HOMEFIRST,INE481N01025,NSE,LIMIT_BUY,BUY,CNC,5,0,1189.30,0.00,,NZVAH00005I8,"",STK_HOMEFIRST_EQ_NSE_2056,2056,CANCELLED,3,3,"",,2026-08-25 13:25:40.457727+05:30,2026-08-25 13:26:21.623362+05:30,,2026-08-25 13:29:55.045767+05:30,2026-08-25 13:29:55.045767+05:30,,,,,,,
848,2cd92066-75d3-5055-848b-bb4e2ade3292,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,LINC,INE802B01027,NSE,LIMIT_BUY,BUY,CNC,62,0,96.35,0.00,,NZVAH00008I8,"",STK_LINC_EQ_NSE_6951,6951,CANCELLED,3,3,"",,2026-08-25 13:25:40.506639+05:30,2026-08-25 13:26:22.23792+05:30,,2026-08-25 13:29:55.044634+05:30,2026-08-25 13:29:55.044634+05:30,,,,,,,
849,84db61b7-c63b-5095-80e3-1df89726ab98,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,ORIENTBELL,INE607D01018,NSE,LIMIT_BUY,BUY,CNC,15,0,375.75,0.00,,NZVAH0000BI8,"",STK_ORIENTBELL_EQ_NSE_14278,14278,CANCELLED,3,3,"",,2026-08-25 13:26:23.763171+05:30,2026-08-25 13:27:05.40654+05:30,,2026-08-25 13:29:55.043522+05:30,2026-08-25 13:29:55.043522+05:30,,,,,,,
850,2e5130a2-a4c3-5573-8594-c991d159e1d7,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,PYRAMID,INE0MIS01010,NSE,LIMIT_BUY,BUY,CNC,36,0,162.98,0.00,,NZVAH0000CI8,"",STK_PYRAMID_EQ_NSE_18250,18250,CANCELLED,3,3,"",,2026-08-25 13:26:23.764551+05:30,2026-08-25 13:27:05.41922+05:30,,2026-08-25 13:29:55.04235+05:30,2026-08-25 13:29:55.04235+05:30,,,,,,,
851,62227199-5874-5f25-bf84-0f41d37a90f4,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,GENUSPOWER,INE955D01029,NSE,LIMIT_BUY,BUY,CNC,17,0,337.50,0.00,,NZVAH00010I8,"",STK_GENUSPOWER_EQ_NSE_11905,11905,CANCELLED,3,3,"",,2026-08-25 13:27:07.561473+05:30,2026-08-25 13:27:48.618183+05:30,,2026-08-25 13:29:55.04114+05:30,2026-08-25 13:29:55.04114+05:30,,,,,,,
852,25a80193-3251-594b-b4a1-8aafc0863aa5,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,ACUTAAS,INE00FF01025,NSE,LIMIT_BUY,BUY,CNC,1,0,3249.90,0.00,,NZVAH0000FI8,"",STK_ACUTAAS_EQ_NSE_5578,5578,CANCELLED,3,3,"",,2026-08-25 13:27:07.569146+05:30,2026-08-25 13:27:48.582381+05:30,,2026-08-25 13:29:55.039835+05:30,2026-08-25 13:29:55.039835+05:30,,,,,,,
853,b5ae00bc-22cc-58a1-8845-53233cd34c1e,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,FEDERALBNK,INE171A01029,NSE,LIMIT_BUY,BUY,CNC,17,0,346.05,0.00,,NZVAH00012I8,"",STK_FEDERALBNK_EQ_NSE_1023,1023,PLACED,3,3,"",,2026-08-25 13:27:50.747948+05:30,2026-08-25 13:28:31.965754+05:30,,,2026-08-25 13:28:31.965754+05:30,,,,,,,
854,03ab16fa-b48a-5c84-85ce-17a61199842b,b5aca8c5-b981-4789-ab90-bb0a539de466,ND03920,PACEDIGITK,INE0S3G01027,NSE,LIMIT_BUY,BUY,CNC,32,0,181.42,0.00,,NZVAH00014I8,"",STK_PACEDIGITK_EQ_NSE_759342,759342,CANCELLED,3,3,"",,2026-08-25 13:28:34.131675+05:30,2026-08-25 13:29:15.543086+05:30,,2026-08-25 13:29:55.038155+05:30,2026-08-25 13:29:55.038155+05:30,,,,,,,
